Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images,images links,,
DEBRA Canada,Epidermolysis Bullosa,"skin, dermatolog, EB, epidermolysis, bullosa, blistering, dermolytic, hereditary, bullous",National,Vancouver,"1500 Upper Middle Rd, Unit #3, PO Box 76035, Oakville, ON",L6M 3H5,debra@debracanada.org,1-800-313-3012,https://debracanada.org/,Active,"""Fund a Butterfly"" program (similar to make a wish), resources of caregivers and care providers, medical funding assistance, EB patient care kits, travel fund",N/A,Youth only,Free,Both virtual/in-person,i found this one while i was researching -- Lindy,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2897.1393224244803!2d-79.74300707343016!3d43.436806116399126!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x882b5d80a221bba3%3A0x481ab3046f9ab738!2sOakville%2C%20ON%20L6M%203H5!5e0!3m2!1sen!2sca!4v1736288840370!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/skin2.jpg,https://unsplash.com/photos/a-naked-woman-sitting-on-a-table-with-her-back-to-the-camera-h7dWAkvPqOA,,
Diabetes Canada - BC Region,Diabetes,"diabetes, sugar, endocrine",All,,N/A,N/A,info@diabetes.ca,1-800-BANTING (226-8464),www.diabetes.ca,Active,"Educational resources, summer camps, caregiver stories and informational telephone service on diabetes management.",English/French,Youth and adults,Free/out of pocket,Both virtual/in-person,,,images/diabetes3.jpg,https://unsplash.com/photos/orange-and-white-plastic-bottle-on-brown-wooden-table-5Hib8uDTm6g,,
Down Syndrome Resource Foundation,Down syndrome,"down, syndrome, trisomy, developmental, disability, disable, 21",Fraser health,Burnaby,1409 Sperling Avenue,V5B 4J8,info@dsrf.org,(604) 444- 3773,https://www.dsrf.org/,Active,"Educational and recreational group programs, educational and health services, resources for families",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.2681476675016!2d-122.96495299999998!3d49.271316000000006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548677e282d5ef4f%3A0x85b72804295f6696!2sDown%20Syndrome%20Resource%20Foundation!5e0!3m2!1sen!2sca!4v1736310932087!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/ds.jpg,https://unsplash.com/photos/man-in-black-and-gray-jacket-standing-near-body-of-water-during-daytime-qcOQD00OJFo,,
Eden Gardens,Dementia,"Dementia, day programs",Vancouver island,Nanaimo,"1917 Northfield Road Nanaimo, BC ",V9S 3B6,office@edengardens.ca,250-758-4676,https://edengardens.ca/day-programs/,Active,"Respite through day programs for individuals having dementia, including one to help ease integration into a care home environment, one to facilitate social interactions, and one to provide hygiene and bathing services ",English,Adults only,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2607.4668519667043!2d-123.98631102318572!3d49.191702677192!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5488a22ac876d11b%3A0xb26dfbf9f008ad36!2sEden%20Gardens!5e0!3m2!1sen!2sca!4v1736288224858!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/edengarden.jpg,https://unsplash.com/photos/green-leafed-plant-in-shallow-focus-photography--8FjF1p-aw0,,
Eden Gardens - leave off for now as it's in nanaimo,,,Vancouver island,Nanaimo,,NA ,,,https://edengardens.ca/day-programs/,Active,,,,Free/Out of pocket,,,,images/garden.jpg,https://unsplash.com/photos/green-plants-beside-brown-wooden-door-tCT032aX0Ds,,
Emotions BC,Any mental health,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, eating, anorexia, bulimia, binge, addiction, substance use, emotion",Fraser health,Surrey,"Suite 107 – 18515 53rd Ave, Surrey, BC",V3S-7A4,info@emotionsbc.ca,604-968-6448,https://emotionsbc.ca/,Active,"Online support and skills, in-person support and skills",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d776.6442013383819!2d-122.70979034423715!3d49.099764303317144!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5485d15ca1e36527%3A0x625a58da77782d5e!2sEmotionsBC!5e0!3m2!1sen!2sca!4v1736310682312!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/mentalhealth3.jpg,https://unsplash.com/photos/a-woman-rests-her-head-on-another-persons-shoulder-KQfxVDHGCUg,,
Endocrine Research Society Vancouver,Endocrine,"endocrine, hormonal, gland, endocrinology, signalling, hormone, secretion, pathway",VCH,Vancouver,"105-1985 West Broadway, Vancouver BC",V6J 4Y3,N/A,N/A,https://www.endocrineresearchsociety.com/,Active,"Research updates, public seminars, and educational resources on endocrine disorders.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10414.599396382393!2d-123.16055616267673!3d49.26408234414353!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673d4b0336af9%3A0x135b149a69933be8!2sEndocrine%20Research%20Society!5e0!3m2!1sen!2sca!4v1736310756090!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/gland.jpg,https://unsplash.com/photos/a-black-and-white-photo-of-a-womans-neck-q35w8iF6X1Q,,
Family Support Institute,Any disability,"disability, disable, disabilities, special need, developmental, access, cognitive, learning, neuro, brain, mind, child, fetal, alcohol, ASD, FASD, autism",Fraser health,New West,227 6th Street,V3L 3A5,website form,(604) 540-8374 ext. 523,https://familysupportbc.com/,Active,"Support, mentor, and build capacity in families; promoting inclusion, equal rights, and equitable opportunities for people with disabilities",N/A,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10426.377157313324!2d-122.92418426271958!3d49.208255544011195!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5485d87470fd28bd%3A0x194ef601c0d4cb10!2sFamily%20Support%20Institute!5e0!3m2!1sen!2sca!4v1736310888678!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/alcohol1.jpg,https://unsplash.com/photos/four-bottles-on-brown-wooden-shelf-USq70OTtGIk,,
FamilySmart,Any mental health condition,"schizo, psychosis, psychotic, affective, mental, thought, split mind, neuro, psychiatric, psychiatry, chronic mental, cognitive dysregulation, brain, delusional, behavioural, eating, anorexia, bulimia, binge, addiction, substance use, emotion",All,,N/A,N/A,info@familysmart.ca,1 (855) 887 8004,https://familysmart.ca/parent-peer-support/bc-parent-peer-support/,Active,"FamilySmart provides peer support and education for families and caregivers of children and youth with mental health and/or substance use challenges. They offer programs like ""Parent in Residence"" and ""Youth in Residence"" that provide peer support and navigation services.",N/A,Adults only,Free,Virtual only,For parents,,images/family3.jpg,https://unsplash.com/photos/photo-of-two-man-and-one-woman-standing-near-tree-GM5Yn5XRVqA,,
First Link,Dementia,"dementia, neurodegenerative, brain, cognitive, memory, neurocognitive, intellectual, mental, phone line",All,Vancouver,N/A,N/A,N/A,1-800-936-6033,"https://alzheimer.ca/bc/en/help-support/find-support-bc/first-link-dementia-helpline#:~:text=If%20you%20have%20questions%20about,9%20a.m.%20to%208%20p.m.)",Active,"Helpline for information about: dementia (general), Getting the diagnosis, Progression of the disease, including its effect on communication and behaviour, Personal planning, Maintaining independence, Providing care and support. Resources available in your community include support groups and upcoming education workshops. Offers information about making your organization or community dementia friendly.","English, Canto, Mandarin, Punjabi, Hindi, Urdu",Adults only,Free,Virtual only,,,images/brain2.jpg,https://unsplash.com/photos/brain-figurine-byp5TTxUbL0,,
First Nations Health Authority,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,,NA,Active,,,,Free,,,,images/firstnations.jpg,https://unsplash.com/photos/VrkGAbu2a_4,,
First Nations Health Authority,"Dementia, Aging","Aging, Seniors, Community, Programs, Senior, Caregiver, Respite, Dementia, Alzhimers, Aging, Medical, Health, Health Authority, Intake, Home support, Home health",All,,,NA ,,,https://www.fnha.ca/WellnessSite/WellnessDocuments/BC_EldersGuide.pdf,Active,"The FNHA plans, designs, manages and funds the delivery of First Nations health programs across BC. ",,,Free/Out of pocket,,,,images/firstnations2.jpg,https://unsplash.com/photos/brown-wooden-statue-surrounded-by-green-plants-SdzuR0GKizM,,
Fraser Health,Palliative,"Pallative, Death, dying, grief, terminal illness",Fraser health,,,NA ,,1-855-412-2121,fraserhealth.ca/palliativecare,Active,Palliative care provides comfort and quality-of-life care for individuals living with life-limiting illness,,,Free,,,,images/health.jpg,https://unsplash.com/photos/clear-medical-hose-taF3klwwAWA,,
Fraser Health,"Dementia, Aging","Aging, Seniors, Community, Programs, Senior, Caregiver, Respite, Dementia, Alzhimers, Aging, Medical, Health, Health Authority, Intake, Home support, Home health",Fraser health,,,NA ,,1-855-412-2121,https://www.fraserhealth.ca/Service-Directory/Services/home-and-community-care/home-and-community-care,Active,If approved its possible to receive health authority respite,,,Free/Out of pocket,,,,images/health2.jpg,https://unsplash.com/photos/votive-candle-r40EYKVyutI,,
Gastrointestinal Society,Inflammatory Bowel Disease,"inflammatory, IBD",VCH,Vancouver,231-3665 Kingsway Vancouver BC,,N/A,604-873-4876 or 1-866-600-4875 (toll-free),https://badgut.org/events/support-groups/#loc,Active,"Provides peer support, education and support for inflammatory bowel disease including Crohn’s disease and ulcerative colitis. Groups allow individuals to exchange information, share experiences, and discuss coping strategies. Patients, friends, and family members are welcome to attend.",N/A,Adults only,Free,Virtual only,Inflammatory,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2605.3055622236147!2d-123.0267586231838!3d49.2326956742922!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c2c71c917b%3A0x1cdd6aa8e4208c93!2sGastrointestinal%20Society!5e0!3m2!1sen!2sca!4v1736288410067!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/stomach.jpg,https://unsplash.com/photos/a-skeleton-with-a-purple-ring-around-its-neck-1OSlpktSvEQ,,
Gastrointestinal Society,Many,,Vancouver island,Vancouver,231-3665 Kingsway,V5R 5W2,N/A,604-873-4876,https://badgut.org/information-centre/diseases-disorders/,Active,"Support groups for individuals affected, also open to friends and family. ","english, french",Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2605.3055622236147!2d-123.0267586231838!3d49.2326956742922!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c2c71c917b%3A0x1cdd6aa8e4208c93!2sGastrointestinal%20Society!5e0!3m2!1sen!2sca!4v1736289333557!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/liver2.jpg,https://unsplash.com/photos/a-drawing-of-a-human-brain-with-multiple-sections-4rPB78U45MA,,
Gov of BC,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/home-community-care/care-options-and-cost/end-of-life-care,Active,End-of-Life Care,,,Free/Out of pocket,,,,images/friend2.jpg,https://unsplash.com/photos/woman-cuddling-goat-1zfWXUXkfkA,,
Handy Dart - BC Transit,,"Transit, transportation, ride",All,Abbotsford,"3032 Gladys Avenue
", V2S 7W3,,"Mainland:604·855·0080
 Island: 250-727-7811",https://www.bctransit.com/terrace/riderinfo/handydart/information,Active,"handyDART is part of the Accessible Services offered from your local transit service. Many handyDART customers use a combination of fixed-route and handyDART services depending on their travel needs and destination.
 
 Two types of accessible transit service are offered: shared door-to-door handyDART service and fixed-route service. Fixed-route service includes either low-floor buses with ramps, or lift-equipped buses on fixed routes and schedules.
 
 Fixed-route buses have securements for wheelchairs or scooters. To check if a stop is accessible, call your local transit office. Customers using wheelchairs or scooters, registered handyDART customers or CNIB pass holders may travel with an attendant. Attendants travel free and must board and exit at the same stop as the customer requiring assistance and help load and secure mobility aids on the bus.",,,Free/Out of pocket,,"https://www.bctransit.com/documents/1529721073252
 • Unconditional eligibility – Allows for the use of handyDART services all year round with
 no restrictions. This eligibility is valid for three (3) years, and can be renewed indefinitely.
 • Conditional eligibility – Allows for the use of handyDART services if specific weather or
 physical conditions of the travel route are met or if a specific destination is required. The
 conditions are determined by the Mobility Specialist during the assessment. This eligibility
 is valid for three (3) years, and can be renewed indefinitely.
 • Temporary eligibility – Allows for the use of handyDART services for a limited period of
 time, which can be extended until the rider has fully recovered.","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10458.17983514777!2d-122.29466421283536!3d49.05727509366194!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5484353ae0ba31ff%3A0xceeeb4f72f65c1c2!2sBC%20Transit%20-%20Central%20Fraser%20Valley%20Transit%20System!5e0!3m2!1sen!2sca!4v1736311336324!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/translink2.jpg,https://unsplash.com/photos/a-train-in-a-station-fwYurn2_Szo,,
Handy Dart - Translink,Transportation,"Transit, transportation, ride",All,Metro Vancouver,,NA ,handydartfeedback@translink.ca,"For general questions about HandyDART, HandyCard, or the Access Transit program, call us at 604.953.3680 (Access Transit Customer Care)
 
 604.575.6600 (local) or 1.844.475.6600 (toll-free).
Call Compass Customer Service at 604.398.2042 if you need help at any point (7 days a week from 6:30 a.m. to 11:30 p.m.).",https://www.translink.ca/rider-guide/transit-accessibility/handydart,Active,"HandyDART
 HandyDART is TransLink's door-to-door, shared-ride service for people who are unable to navigate conventional public transit without assistance.",,,Free/Out of pocket,,"If you have a physical, sensory, or cognitive disability and cannot use conventional public transit without assistance, you may be eligible to use HandyDART.
 
 As of Sept. 1, 2021, children under 12 years old can apply to register as a HandyDART customer. Children 12 and under who are registered HandyDART customers or children who are accompanied by a registered HandyDART customer are able to travel for free on HandyDART without requiring a fare product or identification.",,images/translink.jpg,https://unsplash.com/photos/gray-and-blue-train-hpuziUvRMdk,,
Healthcare Excellence Canada,"Iatrogenic -- Hypoglycemia, Aspiration Pneumonia, Delirium, Infusion/Transfusion/Injection Complications, Obstetric Hemorrhage, Patient Trauma, Pneumothorax, Pneumonia, Post-procedural infection, Pressure Ulcer, Sepsis, UTI, VTE, Wound Disruption, Obstetric Trauma, Procedure-associated shock, electrolyte and fluid imbalance, selected serious events, anemia, birth trauma, device failure, infections (C diff, MRSA, VRE), Laceration, Retained foreign body, Viral gastroenteritis ","iatrogenic, hypoglycemia, sugar, insulin, glucose, hypoglycemic, inhalation, aspiration, pneumonia, pneumonitis, pulmonary, confusion, brain, encephalopathy, cognitive, mental",National,,"Healthcare Excellence Canada
150 Kent Street, Suite 200
Ottawa, Ontario, K1P 0E4 Canada",K1P 0E4,info@hec-esc.ca,1-866-421-6933,https://www.healthcareexcellence.ca/en/contact/,Active,"Programs for hospital harm, EDI training, Improving access to palliative care, helping with nursing home adjustments, etc.",N/A,Youth and adults,Free,Both virtual/in-person,Iatrogenic,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2800.5664440506816!2d-75.70566367334908!3d45.41808168651398!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cce0453f3a09c4d%3A0x53de6ee4d24dff00!2sOttawa%2C%20ON%20K1P%200E4!5e0!3m2!1sen!2sca!4v1736288305810!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/glucose.jpg,https://unsplash.com/photos/woman-wearing-black-sports-bra-4gcqRf3-f2I,,
HealthLInk BC,Palliative,"Pallative, Death, dying, grief, terminal illness",All,,,NA ,,811,Hospice.Bereavement@viha.ca,Active,,,,Free/Out of pocket,,,,images/healthlink.jpg,https://unsplash.com/photos/people-beside-baby-lying-on-bed-with-medical-apparatuses-5mGmMtfOqms,,
HeretoHelp,Any mental Health and Substance Use,,All,Vancouver,905-1130 West Pender St,V6E 4A4,bcpartners@heretohelp.bc.ca,1-800-661-2121 (toll-free in BC) or 604-669-7600,https://www.heretohelp.bc.ca/support-someone-else,Active,"This resource provides information, personal stories, and self-help resources for individuals and families dealing with mental health and substance use issues. They offer specific resources for family members and caregivers.","Find translated info sheets and workbooks in Traditional Chinese, Simplified Chinese, Farsi/Dari, French, Korean, Punjabi, Japanese, and Vietnamese.",Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d162.65107141225351!2d-123.12168940368377!3d49.287440638683364!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867183e1dc7309%3A0xf0a11b1f3f0b47af!2s1130%20W%20Pender%20St%20%23905%2C%20Vancouver%2C%20BC%20V6E%204A4!5e0!3m2!1sen!2sca!4v1736310734056!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/help.jpg,https://unsplash.com/photos/view-of-two-persons-hands-lyiKExA4zQA,,
Hope Air - Free Flight Program For Patients Needing to Travel For Medical Services,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, travel, flight, flying, flies, tranportaiton, transport",All,Vancouver,"#102, 211 Columbia street, Vancouver, British Columbia",V6A 2R5,info@hopeair.ca,1-877-346-4673,https://hopeair.ca/,Active,"Provides free flights to low-income Canadians who must travel far from home for medical care. Hope Air provides free round trip airline travel, through national and regional commercial airlines. Our patients fly with airlines such as WestJet, Air Canada, Pacific Coastal, Central Mountain Air, Harbour Air among others.

Hope Air airline travel is available through over 35 commercial airports including those located in Prince Rupert, Terrace-Kitimat, Smithers, Prince George, Quesnel, Kamloops, Kelowna, Fort Nelson, Williams Lake, Campbell River, Comox, Bella Coola, Trail, Masset, Port Hardy, Williams Lake, Penticton, Victoria, Powell River, Nanaimo, Sechelt, Fort St. John, Castlegar among many others.

In addition, Hope Air provides free accommodation, ground transportation from airport, and meal subsidies to support patient travel.",N/A,Youth and adults,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2602.6545654809975!2d-123.10255009999999!3d49.28294239999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x54867170c9458973%3A0xe51001ce7ff13b27!2s211%20Columbia%20St%2C%20Vancouver%2C%20BC%20V6A%202R5!5e0!3m2!1sen!2sca!4v1736287826265!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/flight.jpg,https://unsplash.com/photos/person-in-a-plane-flying-at-high-altitude-taking-photo-of-left-airplane-wing-during-daytime-YvCg5X3pWzc,,
Huntington's Society of BC,Huntington's Disease,"Huntington, hereditary chorea, HD, chronic progressive chorea, neuro, genetic, progressive neuro, autosomal dominant, dementia, inherited, movement, brain, choreiform, neurogenetic, motor, mental health",VCH,Vancouver,"UBC Hospital S179 2211 Westbrook Mall, Vancouver, BC",V6T 2B5,rromolock@huntingtonsociety.ca,604-822-7195,https://britishcolumbiahd.ca/,Active,"Community events, chapter meetings, volunteer opportunities.",English,Adults only,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d920.5292090692853!2d-123.24710638925637!3d49.26408357684352!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548672c821eee18d%3A0xefeb14d13fbc5b9e!2sVancouver%2C%20BC%20V6T%202B5!5e0!3m2!1sen!2sca!4v1736288171779!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/neuro.jpg,https://unsplash.com/photos/person-in-black-knit-cap-and-gray-sweater-q7ZlbWbDnYo,,
IBD Centre of BC,IBD (UC and CD),"IBD, ulcerative, colitis, crohn's, crohns, IBS, irritible bowel syndrome, irritible bowel disease, ulcerative colitis, crohn's disease, ostomy",All,Vancouver,"Suite 250 – 840 Howe Street, Vancouver, BC V6Z 2L2",V6Z 2L2,info@ibdcentrebc.ca,604.416.4444,https://www.ibdcentrebc.ca/,Active,"Diet & Nutrition, Mental Health Services, Psychiatry, Ostomy Care, Telehealth",english,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2602.743589102473!2d-123.12421662318161!3d49.28125567085467!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548671eb50571beb%3A0xb4cfa02f809f3aa0!2sThe%20IBD%20Centre%20of%20BC!5e0!3m2!1sen!2sca!4v1736289246958!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/celiac.jpg,https://unsplash.com/photos/person-holding-orange-plastic-lid-with-white-cream-8eG73NjiHao,,
Inclusion BC,People with intellectual disabilities,"intellectual, disability, learning, cognitive, global, developmental, delay, speech",Fraser health,New West,227 6th Street,V3L 3A5,info@inclusionbc.org,604-777-9100,https://inclusionbc.org/,Active,"Advocate at a systems level for policy change and promote inclusion through public awareness initiatives and campaigns; provide housing, employment, and advocacy resources",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10426.377115137113!2d-122.92418466271958!3d49.20825574401121!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5485d87470fd28bd%3A0x7e06057056822c9!2sInclusion%20BC!5e0!3m2!1sen!2sca!4v1736310963453!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/inclusion.jpg,https://unsplash.com/photos/a-woman-with-blue-eyes-Bb-VR6hCl34,,
Independent Living BC Program,,"Housing, home, living, apartment, homes, rental housing, independent",All,,,NA ,,"604-443-2218
1800-257-7756",https://www.bchousing.org/housing-assistance/housing-with-support/independent-living-bc-program,Active,"ndependent Living BC (ILBC) is a subsidized, assisted-living program that provides housing with support services to seniors and people with disabilities.
 
 If you qualify, you could live in your own unit in an assisted living residence. The residences are located in communities across B.C. Each residence has private units, shared dining and social areas, housekeeping services, personal care services and emergency response.",,,Free/Out of pocket,,"Independent Living BC is a partnership between BC Housing, provincial health authorities, the Canada Mortgage and Housing Corporation (CMHC), and non-profit and private-market housing providers. The program’s assisted living units provide a middle option between home care and residential care, so individuals can continue to live independently.",,images/community1.jpg,https://unsplash.com/photos/four-person-hands-wrap-around-shoulders-while-looking-at-sunset-PGnqT0rXWLs,,
InspireHealth Supportive Cancer Care,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma",Interior,Kelowna,"#204 – 1740 Gordon Drive, Kelowna, BC",V1Y 3H2,info-kel@inspirehealth.ca,250-861-7125,https://inspirehealth.ca/programs-services/classes-programs/support/,Active,"Monthly self-care workship for support people: this workshop provides an opportunity to explore some practical, mental and emotional ideas and perspectives for working towards balancing taking care of yourself while taking care of others.",N/A,Youth and adults,Free,Virtual only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.7308561127534!2d-123.11985992318262!3d49.26254707217946!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c6f5d2b831%3A0x9cad3a291ad8fd63!2sInspireHealth%20Supportive%20Cancer%20Care!5e0!3m2!1sen!2sca!4v1736287840264!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/cancer5.jpg,https://unsplash.com/photos/a-man-in-a-lab-coat-and-tie-looking-at-an-x-ray-e6XXhDKo1nk,,
Interior Health,Palliative,"Pallative, Death, dying, grief, terminal illness",Interior,,,NA ,,,https://www.interiorhealth.ca/health-and-wellness/palliative-and-end-of-life-care/choosing-supportive-and-palliative-care-options,Active,"Learn about the various care options that support you to live well and manage your symptoms in advancing illness, and as you near the end of life.",,,Free,,,,images/healthcare.jpg,https://unsplash.com/photos/group-of-doctors-walking-on-hospital-hallway-Pd4lRfKo16U,,
Interior Health,"Dementia, Aging","Aging, Seniors, Community, Programs, Senior, Caregiver, Respite, Dementia, Alzhimers, Aging, Medical, Health, Health Authority, Intake, Home support, Home health",Interior,,,NA ,,1-800-707-8550,https://www.interiorhealth.ca/health-and-wellness/home-and-community-care,Active,If approved its possible to receive health authority respite,,,Free/Out of pocket,,,,images/health4.jpg,https://unsplash.com/photos/assorted-fruits-and-vegetables-on-green-surface-kcRFW-Hje8Y,,
Island Health,Palliative,"Pallative, Death, dying, grief, terminal illness",Vancouver island,,,NA ,,"South Island: 250-388-2273 / 1-888-533-2273
 Centre Island: 250-739-5749 / 1-877-734-4101
 North Island: 250-331-8570 / 1-866-928-4988",https://www.islandhealth.ca/learn-about-health/end-of-life-care-hospice/end-of-life-care-hospice,Active,"You can access Island Health Hospice Palliative Care services through two sources: your primary care health professional, such as your family doctor or nurse practitioner
 a Home and Community Care health professional. For palliative care units in Victoria, Nanaimo, and Saanich Peninsula, your family doctor, nurse practitioner or Home Care Nurse will coordinate admission.For services and support at home, our Home and Community Care team team will coordinate access. Contact your family doctor, your Nurse Practitioner, or your local Community Health Services office for more information or for a referral.
 For access to services provided by Hospice Societies please contact the local Hospice Society in your area.",,,Free,,,,images/vancouverhealth1.jpg,https://unsplash.com/photos/white-ship-on-sea-near-snow-covered-mountain-during-daytime-tQ4ChsgPxiA,,
Island Heatlh,"Dementia, Aging","Aging, Seniors, Community, Programs, Senior, Caregiver, Respite, Dementia, Alzhimers, Aging, Medical, Health, Health Authority, Intake, Home support, Home health",Vancouver island,,,NA ,info@islandhealth.ca,"250-370-8699
1-877-370-8699 ",https://www.islandhealth.ca/learn-about-health/home-care-assisted-living-long-term-care,Active,If approved its possible to receive health authority respite,,,Free/Out of pocket,,https://www.islandhealth.ca/our-services/home-care-services/accessing-community-health-services,,images/health3.jpg,https://unsplash.com/photos/person-wearing-orange-and-gray-nike-shoes-walking-on-gray-concrete-stairs-PHIgYUGQPvU,,
